НТО ул. Авиационная, вл.68; Авиационная улица, дом 68; Северо-Западный административный округ; район Щукино; Компания ФРЕГАТ; 55.8097215134657; 37.4562557224584
НТО Абрамцевская ул., вл.1; Абрамцевская улица, дом 1; Северо-Восточный административный округ; район Лианозово; АРЕАЛ; 55.8934729310499; 37.5734227039377
НТО ул. Абрамцевская, вл. 9, к. 1; внутригородская территория муниципальный округ Лианозово, Абрамцевская улица, дом 9, корпус 1; Северо-Восточный административный округ; район Лианозово; У Метро; 55.9045160525638; 37.5737538639508
НТО Абрамцевская ул., вл.14; Абрамцевская улица, дом 14; Северо-Восточный административный округ; район Лианозово; АРЕАЛ; 55.9013866894025; 37.5741204640462
НТО у входа в сквер им. Калинина с ул. Авиамоторная; Авиамоторная улица, дом 14; Юго-Восточный административный округ; район Лефортово; Агентство Печати 41; 55.752735; 37.716752
НТО Авиамоторная ул. 20дробь17; внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 20/17; Юго-Восточный административный округ; район Лефортово; Антарес; 55.7496082089676; 37.7179582574765
НТО Авиамоторная ул., вл. 28дробь6; внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 28/6; Юго-Восточный административный округ; район Лефортово; ГКС; 55.7468336766143; 37.7197867974984
НТО Авиамоторная ул. 47; внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 47; Юго-Восточный административный округ; район Лефортово; МАКС ТНП; 55.7505882783662; 37.7180507167381
НТО Авиаторов ул., вл.14; внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 14; Западный административный округ; район Солнцево; У Метро; 55.6449613680435; 37.3980568792557
НТО Авиаторов ул., вл. 18; внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 18; Западный административный округ; район Солнцево; КАП; 55.6443379070265; 37.4001965532842
НТО 2-ой Автозаводский пр., вл. 3; внутригородская территория муниципальный округ Даниловский, 2-й Автозаводский проезд, дом 3; Южный административный округ; Даниловский район; Антарес; 55.7067515502925; 37.6582546127259
НТО Азовская ул., вл. 29-31; внутригородская территория муниципальный округ Зюзино, Азовская улица, дом 29, корпус 1; Юго-Западный административный округ; район Зюзино; АЛИМПИС; 55.6504390930591; 37.5985946105016
НТО Б. Академическая ул., вл.73; Большая Академическая улица, дом 73, корпус 1; Северный административный округ; район Коптево; АЛФАВИТ; 55.8435110354903; 37.5513497898467
НТО Алтуфьевское ш., 56; внутригородская территория муниципальный округ Алтуфьевский, Алтуфьевское шоссе, дом 56; Северо-Восточный административный округ; Алтуфьевский район; МАКС ТНП; 55.880742; 37.587799
НТО Алтуфьевское ш., вл.88; внутригородская территория муниципальный округ Бибирево, Алтуфьевское шоссе, дом 88; Северо-Восточный административный округ; район Бибирево; У Метро; 55.8996116648568; 37.5878615895091
НТО Алтуфьевское ш., д.91 (выход из метро); внутригородская территория муниципальный округ Лианозово, Алтуфьевское шоссе, дом 91; Северо-Восточный административный округ; район Лианозово; МАКС ТНП; 55.897046576751; 37.5864009055509
НТО Аминьевское шоссе, вл.13; Аминьевское шоссе, дом 13; Западный административный округ; район Очаково-Матвеевское; НВ-ПРЕСС; 55.7032762007705; 37.4572251434898
НТО Амундсена ул., вл. 14-16; улица Амундсена, дом 16, корпус 1; Северо-Восточный административный округ; район Свиблово; АРЕАЛ; 55.8547308320322; 37.6556800761527
НТО Анадырский проезд, вл. 17дробь1; внутригородская территория муниципальный округ Бабушкинский, Анадырский проезд, дом 17/1; Северо-Восточный административный округ; Бабушкинский район; ГКС; 55.8644129999999; 37.683104
НТО Ангарская ул., вл. 1; Ангарская улица, дом 1; Северный административный округ; район Западное Дегунино; АЛФАВИТ; 55.871035; 37.510472
НТО Ангарская ул., вл.13; внутригородская территория муниципальный округ Западное Дегунино, Ангарская улица, дом 13; Северный административный округ; район Западное Дегунино; АРЕАЛ; 55.8742335636128; 37.5146414650174
НТО Андропова просп., вл.21; внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 21; Южный административный округ; район Нагатинский Затон; ГКС; 55.6795383459788; 37.6647176361428
НТО Андропова просп., вл.21; внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 21; Южный административный округ; район Нагатинский Затон; АРДПП; 55.6799143859947; 37.6652187580901
НТО Андропова просп., вл.21; внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 21; Южный административный округ; район Нагатинский Затон; АРЕАЛ; 55.6794938467707; 37.6650013470841
НТО Андропова просп., вл. 30; проспект Андропова, дом 30; Южный административный округ; район Нагатино-Садовники; АРЕАЛ; 55.6791924757116; 37.6631263200876
