Шелепиха; 652084; 713379; 55.755949; 37.530144; 
Площадь Гагарина; 1083491; 1360726; 55.741469; 37.615561; 
Лихоборы; 1008451; 1020934; 55.847123; 37.55233; 
Автозаводская; 502102; 571738; 55.708655; 37.657705; 
Шоссе Энтузиастов; 657943; 740758; 55.741469; 37.615561; 
Хорошёво; 622550; 659993; 55.776879; 37.506341; 
Соколиная Гора; 541886; 570404; 55.770703; 37.744632; 
Локомотив; 1028209; 1073525; 55.747448; 37.689612; 
Кутузовская; 1587123; 1732014; 55.747448; 37.689612; 
Балтийская; 982429; 1069487; 55.826393; 37.495611; 
Владыкино; 695345; 907711; 55.846551; 37.610346; 
Угрешская; 438140; 466734; 55.71902; 37.694692; 
Ботанический сад; 993082; 1215818; null; null; 
Андроновка; 709683; 714878; 55.747448; 37.689612; 
Дубровка; 767673; 820551; 55.741469; 37.615561; 
Измайлово; 867985; 941047; 55.786998; 37.741732; 
Лужники; 895103; 1040786; 55.72163; 37.559106; 
Нижегородская; 1814265; 1949267; 55.731064; 37.729771; 
Новохохловская; 651291; 674431; null; null; 
ЗИЛ; 765497; 805873; 55.698205; 37.650366; 
Верхние Котлы; 1550631; 1612880; 55.689815; 37.620244; 
Белокаменная; 117449; 122067; 55.747448; 37.689612; 
Ростокино; 2777644; 2792250; 55.843075; 37.6653; 
Деловой центр; 1387139; 1499574; 55.748799; 37.533371; 
Бульвар Рокоссовского; 870097; 906486; null; null; 
Стрешнево; 1417562; 1463492; 55.81194; 37.486352; 
Крымская; 901548; 942263; 55.691366; 37.606496; 
Окружная; 1357222; 1360214; 55.741469; 37.615561; 
Зорге; 444658; 467505; 55.741469; 37.615561; 
Панфиловская; 577865; 613721; 55.798955; 37.499581; 
Коптево; 1353652; 1413203; 55.841234; 37.519399; 
Комсомольская; 2830842; 2326909; 55.747448; 37.689612; 
Преображенская площадь; 3717343; 3762037; 55.741469; 37.615561; 
Охотный ряд; 3990220; 4009380; 55.758038; 37.612925; 
Фрунзенская; 2210735; 2331705; 55.747448; 37.689612; 
Лубянка; 2175041; 2239480; 55.747448; 37.689612; 
Парк культуры; 569850; 601643; null; null; 
Библиотека имени Ленина; 0; 0; null; null; 
Спортивная; 1790196; 1969925; null; null; 
Сокольники; 2381771; 2416243; 55.747448; 37.689612; 
Юго-Западная; 4420729; 4473458; 55.635939; 37.407355; 
Воробьёвы горы; 967647; 942380; 55.706453; 37.555261; 
Саларьево; 3549573; 3207828; 55.621717; 37.425232; 
Университет; 2561169; 2596773; 55.747448; 37.689612; 
